iter	Logloss
0	0.6794182726
1	0.6653699219
2	0.6538141493
3	0.6415028212
4	0.6289704861
5	0.6175275608
6	0.6064847222
7	0.595981033
8	0.5864987413
9	0.5783891493
10	0.5703224392
11	0.563130816
12	0.5559141927
13	0.5490555122
14	0.5426468316
15	0.5363400174
16	0.5309865451
17	0.5254729167
18	0.5194188368
19	0.5146832465
20	0.5101732639
21	0.5062194444
22	0.5020672309
23	0.4978022135
24	0.4943567708
25	0.4907071615
26	0.4874958767
27	0.4841268229
28	0.4812055556
29	0.4780054687
30	0.4753730035
31	0.4729072483
32	0.4703625868
33	0.4679522569
34	0.4652864583
35	0.4628953559
36	0.4609505642
37	0.4585569878
38	0.4566042101
39	0.4545328993
40	0.4527416667
41	0.4510655382
42	0.4490651476
43	0.4477130642
44	0.4461911892
45	0.4444688368
46	0.4431207899
47	0.4419238715
48	0.4405
49	0.438808724
50	0.4380673611
51	0.4372911458
52	0.4358721354
53	0.4344692708
54	0.4336242188
55	0.4326793837
56	0.4314659722
57	0.4305092448
58	0.4296748698
59	0.4288137153
60	0.4280029514
61	0.427340191
62	0.4264701389
63	0.4258677517
64	0.4251510417
65	0.4242509549
66	0.4235328125
67	0.4228273872
68	0.4221576389
69	0.4213393663
70	0.4205672743
71	0.4200086806
72	0.419590625
73	0.4189450955
74	0.4183894965
75	0.4178469184
76	0.4172574219
77	0.416896875
78	0.4163265625
79	0.4158088108
80	0.4152053819
81	0.4149804253
82	0.4145221788
83	0.4139896701
84	0.4135449653
85	0.4132394097
86	0.4126782986
87	0.4123088542
88	0.4119561198
89	0.4116095052
90	0.4113800781
91	0.4109927951
92	0.4106820313
93	0.4102365451
94	0.4098688802
95	0.4094161458
96	0.409085026
97	0.4089425347
98	0.408527474
99	0.4082141927
100	0.4079293403
101	0.4076324653
102	0.4073641927
103	0.4070140191
104	0.4067104601
105	0.40656875
106	0.4063570313
107	0.4062240451
108	0.4059809028
109	0.405640842
110	0.4053294271
111	0.4051080729
112	0.4047940972
113	0.4045559462
114	0.4043592448
115	0.4041630208
116	0.4038873264
117	0.4035177951
118	0.4033033854
119	0.4031111545
120	0.4029071615
121	0.4026884115
122	0.402491059
123	0.4022286458
124	0.4020986111
125	0.4019328125
126	0.4017164931
127	0.4014950087
128	0.4013845486
129	0.4012296875
130	0.4011315972
131	0.4010375868
132	0.400931467
133	0.4007127604
134	0.4006448351
135	0.4004636285
136	0.4002319444
137	0.4001749566
138	0.4000697483
139	0.3999330729
140	0.3997590278
141	0.3995831597
142	0.3993796007
143	0.3992826823
144	0.3992055556
145	0.3990930556
146	0.3989827257
147	0.3988377604
148	0.3985828125
149	0.3984853733
150	0.3984173611
151	0.3983265625
152	0.3982358507
153	0.3981568576
154	0.3979724826
155	0.3978516493
156	0.3976618056
157	0.3975459201
158	0.397360026
159	0.3973178819
160	0.397191276
161	0.396890191
162	0.3967704427
163	0.3966286892
164	0.3966038194
165	0.3964671441
166	0.3963411892
167	0.3961704427
168	0.396118533
169	0.3959387153
170	0.3957733507
171	0.3956158854
172	0.3955393229
173	0.395355816
174	0.395069184
175	0.3948732639
176	0.3947546007
177	0.3946436198
178	0.3945242187
179	0.3944532986
180	0.394368099
181	0.3942521267
182	0.3942387587
183	0.3941555556
184	0.3940102865
185	0.3938882813
186	0.3937758247
187	0.393621224
188	0.3935232205
189	0.3933269531
190	0.3932824653
191	0.3931609375
192	0.3928854601
193	0.3928550347
194	0.392840408
195	0.3928038194
196	0.3927573785
197	0.3927222656
198	0.3927164062
199	0.3925981337
200	0.3924202691
201	0.3923516493
202	0.3923332899
203	0.3922078559
204	0.3921053385
205	0.3920514757
206	0.3920290365
207	0.3920106337
208	0.3918702691
209	0.3918491319
210	0.3918172309
211	0.3917940104
212	0.3917710503
213	0.3917555556
214	0.391727691
215	0.3916385851
216	0.3916163194
217	0.3915678385
218	0.3915384549
219	0.391434592
220	0.3913173611
221	0.3912530816
222	0.3912424479
223	0.3912283854
224	0.3912082899
225	0.3911868924
226	0.3910210503
227	0.3909742622
228	0.3908891927
229	0.3908795139
230	0.3908784288
231	0.3908358941
232	0.3907852865
233	0.3907661892
234	0.3907128038
235	0.3906895399
236	0.3906495226
237	0.3906265625
238	0.3906051215
239	0.3905844618
240	0.3905802083
241	0.3905625868
242	0.3904204427
243	0.3904135417
244	0.3904006076
245	0.3902351562
246	0.3902226128
247	0.3901479167
248	0.3900144965
249	0.3899794271
250	0.3898477431
251	0.3898440538
252	0.3897084635
253	0.3895279514
254	0.3895192274
255	0.3894972222
256	0.3894911458
257	0.3894220486
258	0.3893356771
259	0.3893057726
260	0.3892379774
261	0.3892243056
262	0.3890121094
263	0.3889777778
264	0.3888763455
265	0.3888511285
266	0.3888172309
267	0.3886453993
268	0.3886138455
269	0.3885779514
270	0.388478559
271	0.3884092448
272	0.3884046875
273	0.3883070312
274	0.3882382378
275	0.3882346354
276	0.3881609375
277	0.3881413194
278	0.3881392361
279	0.3881324219
280	0.3881179253
281	0.3879482205
282	0.3879407986
283	0.3879219184
284	0.3878794271
285	0.3878721354
286	0.3877641927
287	0.3877050781
288	0.3876760851
289	0.3876447917
290	0.3876383247
291	0.3876155816
292	0.3875960069
293	0.3875162326
294	0.3874884549
295	0.3874693576
296	0.387455599
297	0.387356467
298	0.3873006076
299	0.3872791667
300	0.3872717882
301	0.3871824653
302	0.3871483507
303	0.387140625
304	0.3871387153
305	0.3871369358
306	0.3871350694
307	0.3871274306
308	0.3870888021
309	0.38705625
310	0.3870487413
311	0.3870313368
312	0.3869789931
313	0.3869761285
314	0.3868461806
315	0.3868394097
316	0.386834809
317	0.3867594618
318	0.3867107205
319	0.3867091146
320	0.3866911024
321	0.3866694444
322	0.3866672743
323	0.3866439236
324	0.3866224392
325	0.3865875868
326	0.3864986545
327	0.3864969618
328	0.3863509549
329	0.3863494792
330	0.3863173611
331	0.3863112413
332	0.3862548611
333	0.3862339844
334	0.3862326823
335	0.3862228733
336	0.3861428385
337	0.3861320313
338	0.3861304253
339	0.3860847656
340	0.3860802517
341	0.3860786458
342	0.3860652778
343	0.3860210937
344	0.3859375
345	0.3858855035
346	0.3858039062
347	0.3857946615
348	0.3857222222
349	0.3857206597
350	0.3857191406
351	0.3857109375
352	0.385661849
353	0.3854865017
354	0.3853931424
355	0.3853875868
356	0.3853461806
357	0.3852582465
358	0.385191059
359	0.3851647569
360	0.385162934
361	0.3850391927
362	0.3849294705
363	0.3849236545
364	0.3849223524
365	0.3848496094
366	0.3848481771
367	0.3847220486
368	0.3847207031
369	0.3847038194
370	0.3845795139
371	0.3845782986
372	0.3845773438
373	0.3845331597
374	0.3845319878
375	0.3845308594
376	0.3845269531
377	0.3844606771
378	0.3843991753
379	0.3843980469
380	0.3843790365
381	0.3843780382
382	0.3843641493
383	0.3843300781
384	0.3842675781
385	0.3842665799
386	0.3841547743
387	0.3840804688
388	0.383996875
389	0.3839571181
390	0.3839021701
391	0.3838719618
392	0.3838165799
393	0.3836855469
394	0.383684592
395	0.3836820312
396	0.3836810764
397	0.3836802083
398	0.3836768229
399	0.3836759549
400	0.3836758681
401	0.3836147135
402	0.3835443142
403	0.383544184
404	0.3834984375
405	0.3834450521
406	0.3833428819
407	0.3833388455
408	0.3833380642
409	0.3833246528
410	0.3832689236
411	0.3832628472
412	0.3832144097
413	0.3832143229
414	0.3831904948
415	0.3831234375
416	0.3831226128
417	0.3830678819
418	0.3830604601
419	0.3829848524
420	0.3829840278
421	0.3828766927
422	0.3828728299
423	0.3828250868
424	0.3828243056
425	0.3827812934
426	0.3827805122
427	0.3827792535
428	0.382777908
429	0.3827744358
430	0.3827025608
431	0.3826949653
432	0.3826430122
433	0.3826391927
434	0.3826391059
435	0.3826365451
436	0.3826352431
437	0.3826342014
438	0.3826258247
439	0.3825881944
440	0.3825844618
441	0.3825839844
442	0.3825832031
443	0.3824639757
444	0.3824549045
445	0.3824546007
446	0.3824510851
447	0.3823835069
448	0.3823296441
449	0.3823255208
450	0.382325434
451	0.3822699653
452	0.3822643229
453	0.3822635851
454	0.3822151042
455	0.3820926649
456	0.3820102865
457	0.3819623264
458	0.3818465712
459	0.3817944444
460	0.3817937934
461	0.381731684
462	0.3817310764
463	0.3817304687
464	0.3817298611
465	0.3817292535
466	0.381728776
467	0.3815990885
468	0.3815983507
469	0.3815978299
470	0.3815369358
471	0.3815362413
472	0.3815361545
473	0.381477908
474	0.3814777778
475	0.3814769531
476	0.3814763021
477	0.3814561198
478	0.3814553819
479	0.3814175781
480	0.3813684896
481	0.381327691
482	0.3813152778
483	0.3812839844
484	0.3812429253
485	0.3812165799
486	0.3812160156
487	0.3812103733
488	0.3812097222
489	0.3811829861
490	0.3811823785
491	0.3811817708
492	0.3811794271
493	0.3811495226
494	0.3810796875
495	0.3809803819
496	0.3809299479
497	0.3809279514
498	0.3808894097
499	0.3807688368
500	0.3807567274
501	0.380755816
502	0.3807552517
503	0.3807007813
504	0.3807003038
505	0.3805761285
506	0.3804914062
507	0.3804129774
508	0.380412717
509	0.380412283
510	0.3803973524
511	0.380371658
512	0.3803700521
513	0.3803020833
514	0.3803011719
515	0.3802059896
516	0.3801815104
517	0.3801323785
518	0.3801278646
519	0.3801236979
520	0.3801231337
521	0.3801226563
522	0.3801226128
523	0.3801187066
524	0.3800355035
525	0.3800133247
526	0.3799528646
527	0.3799523437
528	0.3799243924
529	0.3799226562
530	0.3797934028
531	0.3797929253
532	0.3797457465
533	0.3796982639
534	0.3796982205
535	0.3796976128
536	0.3796865017
537	0.3796860677
538	0.3796860243
539	0.3796792535
540	0.379643316
541	0.379584809
542	0.3795483073
543	0.3795476997
544	0.3794457465
545	0.3793960937
546	0.3793338542
547	0.379287717
548	0.3792243056
549	0.3792227431
550	0.3792223958
551	0.3792220052
552	0.3791988281
553	0.3791984809
554	0.3791984375
555	0.3791978733
556	0.3791978299
557	0.3791950955
558	0.3791945313
559	0.3791918403
560	0.3791917969
561	0.379143099
562	0.379140625
563	0.379140625
564	0.379140625
565	0.3791398872
566	0.3791394965
567	0.3789810764
568	0.3789801649
569	0.3789013455
570	0.3789009549
571	0.3786951823
572	0.3786948785
573	0.3786851128
574	0.3786838542
575	0.3785359375
576	0.3785018663
577	0.3785009549
578	0.3784373698
579	0.3784324219
580	0.3784311198
581	0.3783383247
582	0.3782859809
583	0.3782856337
584	0.3781590278
585	0.3781561632
586	0.3781549479
587	0.3781543837
588	0.3781110243
589	0.3781110243
590	0.3780673611
591	0.3779984375
592	0.3779358941
593	0.3779338976
594	0.3778645833
595	0.3778076389
596	0.3777638889
597	0.3777613715
598	0.3776943142
599	0.3775643663
600	0.3775640625
601	0.3774831597
602	0.3774353299
603	0.377434809
604	0.3774347656
605	0.3773669271
606	0.3773484809
607	0.3773460069
608	0.3773451389
609	0.3772709201
610	0.3772376736
611	0.3772376302
612	0.3772292101
613	0.3772289062
614	0.3772262153
615	0.3772259983
616	0.3772256944
617	0.3771940972
618	0.3771932726
619	0.3771161892
620	0.3771138455
621	0.3771134115
622	0.377113151
623	0.3771131076
624	0.3771126736
625	0.377103125
626	0.3769121962
627	0.3769108073
628	0.3769086372
629	0.3769041667
630	0.3769041233
631	0.3769038194
632	0.3768748698
633	0.3768740885
634	0.3768738715
635	0.3768721788
636	0.3768269097
637	0.3768266059
638	0.3768264757
639	0.3768243056
640	0.3768237413
641	0.3768234375
642	0.3767955295
643	0.3767954861
644	0.3767952691
645	0.376721875
646	0.376621441
647	0.3765979167
648	0.3765976563
649	0.3765917101
650	0.3765815972
651	0.3765813802
652	0.376581033
653	0.3765805556
654	0.3765802951
655	0.376484809
656	0.3764827257
657	0.3764825087
658	0.3764719184
659	0.3764714844
660	0.3764712674
661	0.376465191
662	0.3763796875
663	0.376356684
664	0.3763243924
665	0.3763241753
666	0.3763170139
667	0.3763048611
668	0.3763048177
669	0.3762299045
670	0.3761676215
671	0.3761466146
672	0.3761466146
673	0.3761463542
674	0.3761459201
675	0.3761341146
676	0.376119184
677	0.3761178819
678	0.3760868056
679	0.3760866319
680	0.3760859809
681	0.3760447917
682	0.3760445747
683	0.3760439236
684	0.3760229167
685	0.3760224392
686	0.3760222222
687	0.376022092
688	0.376021875
689	0.3759914497
690	0.3759823785
691	0.3759819878
692	0.3759799045
693	0.3759798611
694	0.3759539931
695	0.3759256076
696	0.375921441
697	0.3759212674
698	0.3759082899
699	0.3759080729
700	0.3758454861
701	0.3758453559
702	0.3758338108
703	0.3758334201
704	0.3758327257
705	0.3758325955
706	0.3758306858
707	0.375830599
708	0.3758125434
709	0.3758124132
710	0.3758122396
711	0.3758120226
712	0.3758118924
713	0.3758114583
714	0.3758113715
715	0.3758111979
716	0.3757981337
717	0.3757980035
718	0.3757978733
719	0.3757977431
720	0.3757577257
721	0.3757557292
722	0.3757050781
723	0.3757049479
724	0.3757031684
725	0.3756823785
726	0.3756822483
727	0.3756821181
728	0.3756819444
729	0.3756253472
730	0.375625217
731	0.3756251302
732	0.3756249566
733	0.3756248698
734	0.3756039931
735	0.3756039931
736	0.3756039063
737	0.3756038194
738	0.3756037326
739	0.3756036024
740	0.3755440538
741	0.375543967
742	0.3755439236
743	0.3755082465
744	0.3754626302
745	0.3754626302
746	0.3754620226
747	0.3753324219
748	0.3753322917
749	0.3753322483
750	0.3753321615
751	0.3752870226
752	0.3752851128
753	0.3752293403
754	0.3752147569
755	0.3752129774
756	0.3752125
757	0.3752121962
758	0.3751693576
759	0.375072309
760	0.3750722656
761	0.3750295573
762	0.3749989149
763	0.3749988281
764	0.3749713108
765	0.3749710503
766	0.3749710069
767	0.3749709201
768	0.3749250868
769	0.3749244792
770	0.3749244358
771	0.3749242622
772	0.3749241753
773	0.3748955295
774	0.3748953993
775	0.3748949219
776	0.3748948351
777	0.3748524306
778	0.3748520399
779	0.3748514323
780	0.3748513021
781	0.3748512587
782	0.3748124132
783	0.3747648872
784	0.3747647135
785	0.3747122396
786	0.3747119358
787	0.3747098958
788	0.374709809
789	0.374709592
790	0.3747092882
791	0.374675651
792	0.3746753472
793	0.3746733507
794	0.3746421441
795	0.3745977431
796	0.3745977431
797	0.3745976128
798	0.3745974826
799	0.3745971788
800	0.3745971354
801	0.3745710937
802	0.3745351997
803	0.3745297309
804	0.3745296875
805	0.3744239583
806	0.3744238715
807	0.3744237413
808	0.3744236545
809	0.3744236111
810	0.3744217014
811	0.3743749566
812	0.374316059
813	0.3742746962
814	0.3742746094
815	0.3742744792
816	0.3742447483
817	0.3741990017
818	0.3741990017
819	0.3741770399
820	0.3741637587
821	0.3741636285
822	0.3741622396
823	0.3741618924
824	0.3741618056
825	0.3741391927
826	0.3740749132
827	0.3740748264
828	0.3740746528
829	0.374074566
830	0.3740744792
831	0.374074349
832	0.3740741753
833	0.374072526
834	0.3740724392
835	0.374072309
836	0.3740721788
837	0.3740383247
838	0.3739733073
839	0.3739578125
840	0.373925651
841	0.3738963108
842	0.3738355035
843	0.3738351563
844	0.3738348524
845	0.3738347656
846	0.3738346788
847	0.3738307292
848	0.3738306424
849	0.3738305556
850	0.3738304687
851	0.3738303819
852	0.3738302951
853	0.3737746528
854	0.373774566
855	0.3737744358
856	0.3737743056
857	0.3737742187
858	0.3737741753
859	0.3737740885
860	0.3737739149
861	0.3737738281
862	0.373747092
863	0.3737470052
864	0.3737188368
865	0.37371875
866	0.3737184028
867	0.373718316
868	0.3736248698
869	0.3736233507
870	0.3735867187
871	0.3735866319
872	0.3735565104
873	0.3735564236
874	0.3735539063
875	0.3734405816
876	0.3734405382
877	0.3734404948
878	0.3733991753
879	0.3733991319
880	0.3733990885
881	0.3733990885
882	0.3733987413
883	0.3733987413
884	0.3733986979
885	0.3733985677
886	0.3733985243
887	0.3733977431
888	0.3733976562
889	0.3733915799
890	0.3733896701
891	0.3733163628
892	0.373316276
893	0.3733141493
894	0.3733135417
895	0.3733134549
896	0.3733009983
897	0.3732993056
898	0.3732902344
899	0.3732901476
900	0.3732901042
901	0.3732900174
902	0.3732898872
903	0.3732898003
904	0.3732897135
905	0.3731476128
906	0.373147526
907	0.3731277344
908	0.3731157118
909	0.3731154514
910	0.3731154514
911	0.3730864149
912	0.3730863281
913	0.3729731337
914	0.3729185764
915	0.3728899306
916	0.372887934
917	0.372887934
918	0.3728878472
919	0.3728876736
920	0.3728224826
921	0.3727652778
922	0.3727583767
923	0.3727582899
924	0.372687717
925	0.3726876736
926	0.3726875868
927	0.3726860243
928	0.3726859809
929	0.3725929687
930	0.3725513021
931	0.3724874132
932	0.372378776
933	0.3723773437
934	0.3723278212
935	0.3723278212
936	0.3723028212
937	0.3722428385
938	0.3722426649
939	0.372162717
940	0.3721626302
941	0.3721625434
942	0.3721621094
943	0.3721522569
944	0.3721519965
945	0.3721503038
946	0.3721498698
947	0.3721434896
948	0.3721124132
949	0.3721037326
950	0.3720020833
951	0.3720019965
952	0.3720019965
