iter	Passed	Remaining
402	9514	12985
403	9533	12955
404	9564	12941
405	9591	12921
406	9619	12905
407	9637	12874
408	9655	12842
409	9672	12810
410	9704	12797
411	9721	12765
412	9751	12749
413	9767	12716
414	9786	12687
415	9816	12672
416	9833	12639
417	9862	12622
418	9878	12589
419	9908	12573
420	9923	12540
421	9953	12524
422	9972	12495
423	10002	12479
424	10021	12450
425	10051	12434
426	10069	12403
427	10085	12371
428	10102	12340
429	10120	12308
430	10214	12370
431	10234	12342
432	10262	12324
433	10277	12289
434	10292	12255
435	10307	12221
436	10323	12189
437	10339	12157
438	10356	12125
439	10386	12110
440	10402	12076
441	10419	12046
442	10434	12012
443	10462	11994
444	10480	11964
445	10497	11933
446	10512	11899
447	10542	11883
448	10567	11861
449	10587	11833
450	10603	11802
451	10632	11785
452	10651	11756
453	10666	11724
454	10697	11708
455	10726	11691
456	10756	11674
457	10785	11656
458	10815	11640
459	10845	11623
460	10863	11594
461	10890	11574
462	10907	11543
463	10923	11512
464	10941	11482
465	10959	11453
466	10977	11423
467	11009	11409
468	11028	11380
469	11045	11350
470	11078	11336
471	11095	11307
472	11113	11278
473	11145	11262
474	11162	11233
475	11182	11205
476	11202	11178
477	11220	11150
478	11241	11123
479	11263	11099
480	11294	11082
481	11319	11061
482	11338	11033
483	11367	11015
484	11388	10989
485	11410	10964
486	11424	10932
487	11444	10905
488	11461	10875
489	11479	10846
490	11495	10816
491	11509	10783
492	11524	10752
493	11541	10723
494	11565	10701
495	11591	10680
496	11619	10661
497	11633	10629
498	11651	10601
499	11677	10580
500	11692	10549
501	11708	10519
502	11725	10490
503	11755	10472
504	11769	10440
505	11797	10421
506	11823	10400
507	11851	10381
508	11865	10350
509	11879	10318
510	11898	10291
511	11914	10262
512	11931	10233
513	11960	10215
514	11980	10189
515	12005	10167
516	12023	10139
517	12050	10119
518	12066	10090
519	12082	10060
520	12096	10030
521	12109	9998
522	12126	9970
523	12141	9940
524	12168	9920
525	12186	9892
526	12213	9872
527	12231	9845
528	12259	9825
529	12275	9796
530	12301	9776
531	12314	9745
532	12340	9723
533	12368	9704
534	12384	9675
535	12400	9647
536	12418	9620
537	12433	9590
538	12449	9562
539	12467	9535
540	12495	9515
541	12527	9499
542	12554	9479
543	12569	9450
544	12595	9429
545	12623	9409
546	12652	9391
547	12679	9370
548	12705	9350
549	12723	9323
550	12740	9295
551	12755	9266
552	12775	9240
553	12791	9212
554	12805	9182
555	12819	9153
556	12833	9123
557	12847	9094
558	12862	9066
559	12880	9039
560	12893	9009
561	12918	8987
562	12935	8960
563	12951	8933
564	12965	8903
565	12982	8877
566	12997	8848
567	13027	8830
568	13044	8803
569	13073	8784
570	13089	8756
571	13118	8738
572	13132	8709
573	13151	8683
574	13166	8655
575	13194	8635
576	13224	8617
577	13239	8589
578	13266	8569
579	13281	8541
580	13298	8514
581	13328	8496
582	13357	8477
